Beorn,Tolkien
Melkor,Tolkien
Amroth,Tolkien
Aulë,Tolkien
Frodo Baggins,Tolkien
Adalgrim Took,Tolkien
Adelard Took,Tolkien
Bilbo Baggins,Tolkien
Alatar,Tolkien
Amaranth Brandybuck,Tolkien
Anborn,Tolkien
Ancalagon,Tolkien
Aragorn II Elessar,Tolkien
Saruman,Tolkien
Boromir,Tolkien
Sauron,Tolkien
Elrond,Tolkien
Galadriel,Tolkien
Indis,Tolkien
Eldarion,Tolkien
Elwing,Tolkien
Arwen,Tolkien
Rosie Cotton,Tolkien
Éowyn,Tolkien
Théoden,Tolkien
Meriadoc Brandybuck,Tolkien
Samwise Gamgee,Tolkien
Isildur,Tolkien
Gil-galad,Tolkien
Legolas,Tolkien
Celeborn,Tolkien
Thranduil,Tolkien
Gimli,Tolkien
Aragorn I,Tolkien
Arien,Tolkien
Shagrat,Tolkien
Radagast,Tolkien
Elendil,Tolkien
Peregrin Took,Tolkien
Gollum,Tolkien
Éomer,Tolkien
Faramir,Tolkien
Eärendil,Tolkien
Déagol,Tolkien
Farmer Maggot,Tolkien
Smaug,Tolkien
Tom Bombadil,Tolkien
Yavanna,Tolkien
Varda,Tolkien
Beren,Tolkien
Bard,Tolkien
Treebeard,Tolkien
Gilraen,Tolkien
Arador,Tolkien
Ingwë,Tolkien
Círdan,Tolkien
Shelob,Tolkien
Goldberry,Tolkien
Meneldil,Tolkien
Cemendur,Tolkien
Eärendil of Gondor,Tolkien
Anardil,Tolkien
Ostoher,Tolkien
Rómendacil I,Tolkien
Turambar,Tolkien
Atanatar I,Tolkien
Witch-king of Angmar,Tolkien
Fëanor,Tolkien
Valacar,Tolkien
Anárion,Tolkien
Siriondil,Tolkien
Tarannon Falastur,Tolkien
Eärnil I,Tolkien
Ciryandil,Tolkien
Hyarmendacil I,Tolkien
Atanatar II,Tolkien
Narmacil I,Tolkien
Calmacil,Tolkien
Mardil Voronwë,Tolkien
Eradan,Tolkien
Herion,Tolkien
Belegorn,Tolkien
Húrin I,Tolkien
Túrin I,Tolkien
Denethor I,Tolkien
Cirion,Tolkien
Húrin II,Tolkien
Belecthor I,Tolkien
Ecthelion I,Tolkien
Egalmoth,Tolkien
Beregond,Tolkien
Belecthor II,Tolkien
Thorondir,Tolkien
Túrin II,Tolkien
Ecthelion II,Tolkien
Denethor II,Tolkien
Pelendur,Tolkien
Minardil,Tolkien
Castamir the Usurper,Tolkien
Aldamir,Tolkien
Hyarmendacil II,Tolkien
Telemnar,Tolkien
Tarondor,Tolkien
Telumehtar,Tolkien
Narmacil II,Tolkien
Calimehtar,Tolkien
Ondoher,Tolkien
Fíriel,Tolkien
Eärnil II,Tolkien
Eärnur,Tolkien
Argeleb II,Tolkien
Finrod,Tolkien
Amrod,Tolkien
Finarfin,Tolkien
Haleth,Tolkien
Uglúk,Tolkien
Barliman Butterbur,Tolkien
Glorfindel,Tolkien
Glóin,Tolkien
Galdor of the Havens,Tolkien
Durin's Bane,Tolkien
Gildor Inglorion,Tolkien
Brand,Tolkien
Thorin III Stonehelm,Tolkien
Dáin II Ironfoot,Tolkien
Azaghâl,Tolkien
Bifur,Tolkien
Balin,Tolkien
Bombur,Tolkien
Bofur,Tolkien
Borin,Tolkien
Dáin I,Tolkien
Dís,Tolkien
Dori,Tolkien
Dwalin,Tolkien
Flói,Tolkien
Frerin,Tolkien
Frár,Tolkien
Frór,Tolkien
Fundin,Tolkien
Gróin,Tolkien
Grór,Tolkien
Mîm,Tolkien
Lóni,Tolkien
Náli,Tolkien
Óin,Tolkien
Ori,Tolkien
Náin I,Tolkien
Náin II,Tolkien
Nár,Tolkien
Nori,Tolkien
Telchar,Tolkien
Thorin I,Tolkien
Thorin II Oakenshield,Tolkien
Thráin I,Tolkien
Thráin II,Tolkien
Thrór,Tolkien
Adaldrida (Bolger) Brandybuck,Tolkien
Adamanta (Chubb) Took,Tolkien
Angelica Baggins,Tolkien
Asphodel (Brandybuck) Burrows,Tolkien
Balbo Baggins,Tolkien
Bandobras Took,Tolkien
Belladonna (Took) Baggins,Tolkien
Berylla (Boffin) Baggins,Tolkien
Bucca of the Marish,Tolkien
Bungo Baggins,Tolkien
Celandine Brandybuck,Tolkien
Daisy (Baggins) Boffin,Tolkien
Diamond Took,Tolkien
Esmeralda Brandybuck,Tolkien
Estella (Bolger) Brandybuck,Tolkien
Ferumbras III Took,Tolkien
Gerontius Took,Tolkien
Gorhendad (Oldbuck) Brandybuck,Tolkien
"Gormadoc ""Deepdelver"" Brandybuck",Tolkien
Hamfast Gamgee,Tolkien
Laura (Grubb) Baggins,Tolkien
Lobelia Sackville-Baggins,Tolkien
Lotho Sackville-Baggins,Tolkien
"Malva ""Headstrong"" Brandybuck",Tolkien
Melilot Brandybuck,Tolkien
Mungo Baggins,Tolkien
Nob,Tolkien
Otho Sackville-Baggins,Tolkien
Primula (Brandybuck) Baggins,Tolkien
Rosa (Baggins) Took,Tolkien
Thingol,Tolkien
Azog,Tolkien
Bolg,Tolkien
Golfimbul,Tolkien
Gorbag,Tolkien
Gorgol,Tolkien
Great Goblin,Tolkien
Grishnákh,Tolkien
Lagduf,Tolkien
Lugdush,Tolkien
Halbarad,Tolkien
Fram,Tolkien
Scatha,Tolkien
Frumgar,Tolkien
Eorl the Young,Tolkien
Helm Hammerhand,Tolkien
Fréaláf Hildeson,Tolkien
Brego,Tolkien
Aldor,Tolkien
Fréa,Tolkien
Goldwine,Tolkien
Déor,Tolkien
Gram,Tolkien
Brytta Léofa,Tolkien
Walda,Tolkien
Folca,Tolkien
Folcwine,Tolkien
Fengel,Tolkien
Thengel,Tolkien
Morwen Steelsheen,Tolkien
Théodred,Tolkien
Erkenbrand,Tolkien
Elfwine,Tolkien
Lothíriel,Tolkien
Imrahil,Tolkien
Ivriniel,Tolkien
Finduilas of Dol Amroth,Tolkien
Finduilas,Tolkien
Celebrimbor,Tolkien
Curufin,Tolkien
Finwë,Tolkien
Celegorm,Tolkien
Lúthien,Tolkien
Melian,Tolkien
Eru Ilúvatar,Tolkien
Huan,Tolkien
Ungoliant,Tolkien
Thorondor,Tolkien
Ulmo,Tolkien
Oromë,Tolkien
Mandos,Tolkien
Irmo,Tolkien
Tulkas,Tolkien
Nienna,Tolkien
Estë,Tolkien
Vairë,Tolkien
Vána,Tolkien
Nessa,Tolkien
Tuor,Tolkien
Idril,Tolkien
Turgon,Tolkien
Túrin,Tolkien
Huor,Tolkien
Rían,Tolkien
Voronwë,Tolkien
Orodreth,Tolkien
Angrod,Tolkien
Glaurung,Tolkien
Fingon,Tolkien
Fingolfin,Tolkien
Findis,Tolkien
Írimë,Tolkien
Míriel,Tolkien
Brandir,Tolkien
Handir,Tolkien
Niënor,Tolkien
Bregalad,Tolkien
Ossë,Tolkien
Amandil,Tolkien
Ar-Pharazôn,Tolkien
Tar-Míriel,Tolkien
Marach,Tolkien
Bain,Tolkien
Maeglin,Tolkien
Adanel,Tolkien
